Column1,Column2
Deduction,Khấu trừ
Document Status,Trạng thái chứng từ
Earning,Thu nhập
Employee A/C Number,Số tài khoản nhân viên
Employee Benefits,Phúc lợi nhân viên
Employee Grade,Cấp bậc nhân viên
Employee Referral,Giới thiệu nhân viên
Employee relieved on {0} must be set as 'Left',Nhân viên nghỉ việc từ {0} phải được đặt trạng thái là “Left”
Employee {0} already submited an apllication {1} for the payroll period {2},Nhân viên {0} đã nộp đơn {1} cho kỳ lương {2}
Employee {0} has no maximum benefit amount,Nhân viên {0} không có mức phúc lợi tối đa
Employee {0} is not active or does not exist,Nhân viên {0} không hoạt động hoặc không tồn tại
Employee {0} is on Leave on {1},Nhân viên {0} đang nghỉ phép vào ngày {1}
Employee {0} on Half day on {1},Nhân viên {0} nghỉ nửa ngày vào {1}
End time cannot be before start time,Giờ kết thúc không được trước giờ bắt đầu
Evaluation,Đánh giá
Event Location,Địa điểm sự kiện
Event Name,Tên sự kiện
Expense Claim for Vehicle Log {0},Yêu cầu chi phí cho nhật ký xe {0}
Expense Claim {0} already exists for the Vehicle Log,Yêu cầu chi phí {0} đã tồn tại cho nhật ký xe
Fill the form and save it,Vui lòng điền biểu mẫu và lưu lại
Filter Employees By (Optional),Lọc nhân viên theo (Tùy chọn)
Fiscal Year {0} not found,Không tìm thấy năm tài chính {0}
Food,Ăn uống
For Employee,Cho nhân viên
From Date {0} cannot be after employee's relieving Date {1},Ngày bắt đầu {0} không được sau ngày nghỉ việc của nhân viên {1}
From Date {0} cannot be before employee's joining Date {1},Ngày bắt đầu {0} không được trước ngày vào làm của nhân viên {1}
From date can not be less than employee's joining date,Ngày bắt đầu không được trước ngày vào làm của nhân viên
Fuel Price,Giá nhiên liệu
Fuel Qty,Số lượng nhiên liệu
Full-time,Toàn thời gian
Future dates not allowed,Không cho phép ngày trong tương lai
Get Details From Declaration,Lấy thông tin từ bản khai
Get Employees,Lấy danh sách nhân viên
Gross Pay,Tổng lương
Guest,Khách
Half Day,Nửa ngày
Half Day Date is mandatory,Bắt buộc phải có ngày nửa ngày
Half Day Date should be between From Date and To Date,Ngày nửa ngày phải nằm giữa ngày bắt đầu và ngày kết thúc
Half Day Date should be in between Work From Date and Work End Date,Ngày nửa ngày phải nằm giữa ngày làm việc bắt đầu và ngày làm việc kết thúc
Half day date should be in between from date and to date,Ngày nửa ngày phải nằm giữa ngày bắt đầu và ngày kết thúc
Hello,Xin chào
House rent paid days overlapping with {0},Số ngày trả tiền thuê nhà bị chồng chéo với {0}
House rented dates required for exemption calculation,Cần ngày thuê nhà để tính miễn trừ
House rented dates should be atleast 15 days apart,Ngày thuê nhà phải cách nhau ít nhất 15 ngày
Interest Amount,Số tiền lãi
Intern,Thực tập sinh
Job Description,Mô tả công việc
Job Offer,Thư mời làm việc
Jobs,Công việc
Leave Approval Notification,Thông báo phê duyệt nghỉ phép
Leave Blocked,Nghỉ phép bị khóa
Leave Encashment,Thanh toán nghỉ phép
Leave Status Notification,Thông báo trạng thái nghỉ phép
Leave Type,Loại nghỉ phép
Leave Type is madatory,Bắt buộc phải chọn loại nghỉ phép
Leave Type {0} cannot be allocated since it is leave without pay,Loại nghỉ phép {0} không thể phân bổ vì là nghỉ không lương
Leave Type {0} cannot be carry-forwarded,Loại nghỉ phép {0} không thể chuyển tiếp
Leave Type {0} is not encashable,Loại nghỉ phép {0} không thể quy đổi tiền
Leave Without Pay,Nghỉ không lương
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",Không thể phân bổ nghỉ phép trước {0} vì số dư nghỉ phép đã được chuyển tiếp trong bản ghi phân bổ tương lai {1}
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",Không thể đăng ký/hủy nghỉ phép trước {0} vì số dư nghỉ phép đã được chuyển tiếp trong bản ghi phân bổ tương lai {1}
Leave of type {0} cannot be longer than {1},Nghỉ phép loại {0} không được dài hơn {1}
Leaves,Nghỉ phép
Leaves Allocated Successfully for {0},Đã phân bổ nghỉ phép thành công cho {0}
Leaves per Year,Số ngày nghỉ mỗi năm
Lifecycle,Vòng đời
Mark Attendance,Ghi nhận chấm công
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Mức miễn trừ tối đa không được vượt quá mức miễn trừ tối đa {0} của danh mục miễn trừ thuế {1}
Max benefits should be greater than zero to dispense benefits,Mức phúc lợi tối đa phải lớn hơn 0 để chi trả phúc lợi
Maximum amount eligible for the component {0} exceeds {1},Số tiền tối đa đủ điều kiện cho thành phần {0} vượt quá {1}
Maximum benefit amount of component {0} exceeds {1},Mức phúc lợi tối đa của thành phần {0} vượt quá {1}
Maximum benefit amount of employee {0} exceeds {1},Mức phúc lợi tối đa của nhân viên {0} vượt quá {1}
Maximum leave allowed in the leave type {0} is {1},Số ngày nghỉ tối đa cho loại nghỉ phép {0} là {1}
Medical,Y tế
Mode of payment is required to make a payment,Bắt buộc phải chọn phương thức thanh toán để thực hiện thanh toán
More than one selection for {0} not allowed,Không cho phép chọn nhiều hơn một cho {0}
Net Pay,Lương thực nhận
Net Pay cannot be less than 0,Lương thực nhận không được nhỏ hơn 0
Net Salary Amount,Số tiền lương thực nhận
Net pay cannot be negative,Lương thực nhận không được âm
No Employee Found,Không tìm thấy nhân viên
No Salary Structure assigned for Employee {0} on given date {1},Không có cấu trúc lương được gán cho nhân viên {0} tại ngày {1}
No Staffing Plans found for this Designation,Không tìm thấy kế hoạch nhân sự cho chức danh này
No active or default Salary Structure found for employee {0} for the given dates,Không tìm thấy cấu trúc lương đang hoạt động hoặc mặc định cho nhân viên {0} trong các ngày đã chọn
No more updates,Không còn cập nhật nào
No replies from,Không có phản hồi từ
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Không tìm thấy phiếu lương để nộp theo tiêu chí đã chọn HOẶC phiếu lương đã được nộp
Nothing to change,Không có gì để thay đổi
Notice Period,Thời gian báo trước
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Chỉ các đơn nghỉ phép có trạng thái “Approved” và “Rejected” mới có thể được nộp
Optional Holiday List not set for leave period {0},Chưa thiết lập danh sách ngày nghỉ tùy chọn cho kỳ nghỉ phép {0}
Part-time,Bán thời gian
Password policy for Salary Slips is not set,Chưa thiết lập chính sách mật khẩu cho phiếu lương
Payment Days,Số ngày thanh toán
Payment of {0} from {1} to {2},Thanh toán {0} từ {1} đến {2}
Payroll,Bảng lương
Payroll Number,Số bảng lương
Piecework,Làm khoán
Please add the remaining benefits {0} to any of the existing component,Vui lòng thêm các phúc lợi còn lại {0} vào bất kỳ thành phần hiện có nào
Please confirm once you have completed your training,Vui lòng xác nhận sau khi bạn đã hoàn thành khóa đào tạo
Please enable default incoming account before creating Daily Work Summary Group,Vui lòng bật tài khoản ghi nhận mặc định trước khi tạo Nhóm tổng hợp công việc hằng ngày
Please select Company and Designation,Vui lòng chọn Công ty và Chức danh
Please select Employee,Vui lòng chọn Nhân viên
Please select a csv file,Vui lòng chọn tệp CSV
Please set default template for Leave Approval Notification in HR Settings.,Vui lòng thiết lập mẫu mặc định cho Thông báo Phê duyệt Nghỉ phép trong Cài đặt HR
Please set default template for Leave Status Notification in HR Settings.,Vui lòng thiết lập mẫu mặc định cho Thông báo Trạng thái Nghỉ phép trong Cài đặt HR
Please set the Company,Vui lòng thiết lập Công ty
Please set the Date Of Joining for employee {0},Vui lòng thiết lập Ngày vào làm cho nhân viên {0}
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Vui lòng chia sẻ phản hồi về khóa đào tạo bằng cách nhấp vào “Training Feedback” rồi chọn “New”
Please update your status for this training event,Vui lòng cập nhật trạng thái của bạn cho sự kiện đào tạo này
Present,Có mặt
Preview Salary Slip,Xem trước Phiếu lương
Privilege Leave,Nghỉ phép đặc quyền
Probation,Thử việc
Probationary Period,Thời gian thử việc
Property,Tài sản
Property already added,Tài sản đã được thêm
Replies,Phản hồi
Responsibilities,Trách nhiệm
Role,Vai trò
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Dòng {0}# Số tiền phân bổ {1} không được lớn hơn số tiền chưa quyết toán {2}
Row {0}# Paid Amount cannot be greater than requested advance amount,Dòng {0}# Số tiền đã trả không được lớn hơn số tiền tạm ứng đã yêu cầu
Salary Slip ID,Mã Phiếu lương
Salary Slip of employee {0} already created for this period,Phiếu lương của nhân viên {0} đã được tạo cho kỳ này
Salary Slip of employee {0} already created for time sheet {1},Phiếu lương của nhân viên {0} đã được tạo cho bảng chấm công {1}
Salary Structure Assignment for Employee already exists,Phân công Cấu trúc lương cho Nhân viên đã tồn tại
Salary Structure Missing,Thiếu Cấu trúc lương
Salary Structure not found for employee {0} and date {1},Không tìm thấy Cấu trúc lương cho nhân viên {0} tại ngày {1}
Salary Structure should have flexible benefit component(s) to dispense benefit amount,Cấu trúc lương phải có thành phần phúc lợi linh hoạt để chi trả phúc lợi
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Lương đã được xử lý cho giai đoạn từ {0} đến {1}, thời gian đăng ký nghỉ phép không được nằm trong khoảng này"
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Số tiền phê duyệt không được lớn hơn số tiền yêu cầu ở dòng {0}
Score must be less than or equal to 5,Điểm phải nhỏ hơn hoặc bằng 5
Select Property,Chọn Tài sản
Select an employee to get the employee advance.,Chọn một nhân viên để lấy tạm ứng của nhân viên
Service Expense,Chi phí dịch vụ
Show Employee,Hiển thị Nhân viên
Show Salary Slip,Hiển thị Phiếu lương
Sick Leave,Nghỉ ốm
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}",Bỏ qua phân công Cấu trúc lương cho các nhân viên sau vì bản ghi phân công đã tồn tại {0}
Staffing Plan {0} already exist for designation {1},Kế hoạch nhân sự {0} đã tồn tại cho chức danh {1}
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Ngày bắt đầu và kết thúc không thuộc kỳ bảng lương hợp lệ, không thể tính {0}"
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Ngày bắt đầu và kết thúc không thuộc kỳ bảng lương hợp lệ, không thể tính {0}"
Stock Options,Quyền chọn cổ phiếu
Structures have been assigned successfully,Cấu trúc đã được gán thành công
Submit Proof,Nộp minh chứng
Submit Salary Slip,Nộp Phiếu lương
Submit this to create the Employee record,Nộp để tạo hồ sơ Nhân viên
Submitting Salary Slips...,Đang nộp Phiếu lương...
Team Updates,Cập nhật nhóm
Thank you,Cảm ơn
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,"Ngày bạn đăng ký nghỉ phép là ngày lễ, bạn không cần đăng ký nghỉ phép"
There are more holidays than working days this month.,Số ngày lễ nhiều hơn số ngày làm việc trong tháng này
There is no leave period in between {0} and {1},Không có kỳ nghỉ phép nào nằm giữa {0} và {1}
This is based on the attendance of this Employee,Điều này dựa trên chấm công của nhân viên này
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Thao tác này sẽ nộp Phiếu lương và tạo bút toán kết chuyển. Bạn có muốn tiếp tục không
To date can not be equal or less than from date,Ngày đến không được bằng hoặc nhỏ hơn ngày đi
To date can not be less than from date,Ngày đến không được nhỏ hơn ngày đi
To date can not greater than employee's relieving date,Ngày đến không được lớn hơn ngày nghỉ việc của nhân viên
Total Absent,Tổng số ngày vắng
Total Deduction,Tổng khấu trừ
Total Leaves,Tổng số ngày nghỉ
Total Present,Tổng số ngày có mặt
Total advance amount cannot be greater than total sanctioned amount,Tổng số tiền tạm ứng không được lớn hơn tổng số tiền được phê duyệt
Total flexible benefit component amount {0} should not be less than max benefits {1},Tổng số tiền thành phần phúc lợi linh hoạt {0} không được nhỏ hơn mức phúc lợi tối đa {1}
Total leaves allocated is mandatory for Leave Type {0},Bắt buộc phải có tổng số ngày nghỉ được phân bổ cho Loại nghỉ phép {0}
Total working hours should not be greater than max working hours {0},Tổng số giờ làm việc không được lớn hơn số giờ làm việc tối đa {0}
Training,Đào tạo
Training Event,Sự kiện đào tạo
Training Events,Các sự kiện đào tạo
Training Feedback,Phản hồi đào tạo
Training Result,Kết quả đào tạo
Travel,Công tác
Update Response,Cập nhật phản hồi
Value missing,Thiếu giá trị
Variable,Biến
Walk In,Khách vãng lai
Warning: Leave application contains following block dates,Cảnh báo: Đơn nghỉ phép chứa các ngày bị khóa sau
Website Listing,Danh sách website
Work Summary for {0},Tổng hợp công việc cho {0}
You are not authorized to approve leaves on Block Dates,Bạn không có quyền phê duyệt nghỉ phép vào các ngày bị khóa
You are not present all day(s) between compensatory leave request days,Bạn không có mặt đủ cả ngày giữa các ngày yêu cầu nghỉ bù
You can only submit Leave Encashment for a valid encashment amount,Bạn chỉ có thể nộp Quy đổi nghỉ phép cho số tiền quy đổi hợp lệ
{0} already allocated for Employee {1} for period {2} to {3},{0} đã được phân bổ cho Nhân viên {1} trong giai đoạn {2} đến {3}
{0} applicable after {1} working days,{0} áp dụng sau {1} ngày làm việc
{0} is not in Optional Holiday List,{0} không có trong Danh sách Ngày nghỉ Tùy chọn
{0} is not in a valid Payroll Period,{0} không thuộc kỳ bảng lương hợp lệ
{0} must be submitted,{0} phải được nộp
"{0}: Employee email not found, hence email not sent",{0}: Không tìm thấy email nhân viên nên không gửi được email
{0}: From {0} of type {1},{0}: Từ {0} thuộc loại {1}
Conditions,Điều kiện
Percent,Phần trăm
Error in some rows,Lỗi ở một số dòng
Benefit,Phúc lợi
Shift,Ca làm việc
Importing {0} of {1},Đang nhập {0} của {1}
'employee_field_value' and 'timestamp' are required.,Bắt buộc phải có “employee_field_value” và “timestamp”
Allocation Expired!,Phân bổ đã hết hạn
Attendance Marked,Đã ghi nhận chấm công
Attendance has been marked as per employee check-ins,Chấm công đã được ghi nhận theo check-in của nhân viên
Date Range,Khoảng ngày
Event Link,Liên kết sự kiện
Expire Allocation,Hết hạn phân bổ
Fuel Expense,Chi phí nhiên liệu
Intermediate,Trung cấp
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Đơn nghỉ phép được liên kết với phân bổ nghỉ phép {0}. Không thể đặt đơn nghỉ phép là nghỉ không lương
Log Type is required for check-ins falling in the shift: {0}.,Bắt buộc phải có Loại nhật ký cho các check-in rơi vào ca làm việc {0}
No Employee found for the given employee field value. '{}': {},Không tìm thấy nhân viên với giá trị trường nhân viên đã cho '{}': {}
No Leaves Allocated to Employee: {0} for Leave Type: {1},Không có ngày nghỉ nào được phân bổ cho Nhân viên {0} với Loại nghỉ phép {1}
Only expired allocation can be cancelled,Chỉ phân bổ đã hết hạn mới có thể bị hủy
Only users with the {0} role can create backdated leave applications,Chỉ người dùng có vai trò {0} mới có thể tạo đơn nghỉ phép lùi ngày
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Chính sách mật khẩu không được chứa khoảng trắng hoặc dấu gạch nối liên tiếp. Định dạng sẽ được tự động cấu trúc lại
Please enter the designation,Vui lòng nhập chức danh
There are no vacancies under staffing plan {0},Không có vị trí trống theo kế hoạch nhân sự {0}
This employee already has a log with the same timestamp.{0},Nhân viên này đã có bản ghi với cùng mốc thời gian {0}
Timing,Thời gian
To date needs to be before from date,Ngày đến cần phải trước ngày đi
Total Early Exits,Tổng số lần về sớm
Total Late Entries,Tổng số lần vào muộn
Training Event:,Sự kiện đào tạo:
Unable to find Salary Component {0},Không tìm thấy Thành phần lương {0}
Unmarked Attendance for days,Chấm công chưa được ghi nhận cho các ngày
Vacancies cannot be lower than the current openings,Số lượng vị trí trống không được thấp hơn số vị trí đang mở
{} is an invalid Attendance Status.,{} là trạng thái chấm công không hợp lệ
Printed On,In vào ngày
Please setup Employee Naming System in Human Resource > HR Settings,Vui lòng thiết lập Hệ thống đặt tên Nhân viên trong Nhân sự > Cài đặt HR
Please setup numbering series for Attendance via Setup > Numbering Series,Vui lòng thiết lập chuỗi đánh số cho Chấm công tại Thiết lập > Chuỗi đánh số
Current Odometer Value should be greater than Last Odometer Value {0},Giá trị công tơ mét hiện tại phải lớn hơn giá trị công tơ mét trước đó {0}
No additional expenses has been added,Chưa có chi phí bổ sung nào được thêm
{0} already exists for employee {1} and period {2},{0} đã tồn tại cho nhân viên {1} và kỳ {2}
Leaves Allocated,Đã phân bổ nghỉ phép
Leave Without Pay does not match with approved {} records,Nghỉ không lương không khớp với các bản ghi đã phê duyệt {}
Income Tax Slab not set in Salary Structure Assignment: {0},Chưa thiết lập Bậc thuế TNCN trong Phân công Cấu trúc lương {0}
Income Tax Slab: {0} is disabled,Bậc thuế TNCN {0} đang bị vô hiệu hóa
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},Bậc thuế TNCN phải có hiệu lực vào hoặc trước Ngày bắt đầu Kỳ bảng lương {0}
No leave record found for employee {0} on {1},Không tìm thấy bản ghi nghỉ phép cho nhân viên {0} vào ngày {1}
Row {0}: {1} is required in the expenses table to book an expense claim.,Dòng {0}: Bắt buộc phải có {1} trong bảng chi phí để hạch toán yêu cầu chi phí
Set the default account for the {0} {1},Thiết lập tài khoản mặc định cho {0} {1}
(Half Day),(Nửa ngày)
Income Tax Slab,Bậc thuế thu nhập
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Dòng #{0}: Không thể đặt số tiền hoặc công thức cho Thành phần lương {1} với Biến dựa trên Lương chịu thuế
Repay From Salary can be selected only for term loans,Chỉ có thể chọn Khấu trừ từ lương cho các khoản vay có kỳ hạn
Salary Component Account,Tài khoản Thành phần lương
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Tài khoản Ngân hàng/Tiền mặt mặc định sẽ được tự động cập nhật trong Bút toán lương khi chọn phương thức này
Result,Kết quả
Total Score,Tổng điểm
Joining Date,Ngày vào làm
Publish on website,Đăng trên website
Application Status,Trạng thái đơn
IN,VÀO
Remind Before,Nhắc trước
Reminded,Đã nhắc
Additional Salary,Lương bổ sung
HR-ADS-.YY.-.MM.-,HR-ADS-.YY.-.MM.-
Salary Component,Thành phần lương
Overwrite Salary Structure Amount,Ghi đè số tiền Cấu trúc lương
Deduct Full Tax on Selected Payroll Date,Khấu trừ toàn bộ thuế vào Ngày bảng lương đã chọn
Payroll Date,Ngày bảng lương
Salary Component Type,Loại Thành phần lương
Appointment Letter,Thư mời nhận việc
Appointment Date,Ngày bổ nhiệm
Appointment Letter Template,Mẫu Thư mời nhận việc
Closing Notes,Ghi chú kết thúc
Appointment Letter content,Nội dung Thư mời nhận việc
Appraisal,Đánh giá
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.
For Employee Name,Theo Tên Nhân viên
Goals,Mục tiêu
Total Score (Out of 5),Tổng điểm (trên 5)
"Any other remarks, noteworthy effort that should go in the records.","Các nhận xét khác, nỗ lực đáng chú ý cần ghi vào hồ sơ"
Appraisal Goal,Mục tiêu đánh giá
Key Responsibility Area,Khu vực Trách nhiệm Chính
Weightage (%),Trọng số (%)
Score (0-5),Điểm (0-5)
Score Earned,Điểm đạt được
Appraisal Template Title,Tiêu đề Mẫu đánh giá
Appraisal Template Goal,Mục tiêu Mẫu đánh giá
KRA,KRA
Key Performance Area,Khu vực Hiệu suất Chính
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
On Leave,Đang nghỉ phép
Work From Home,Làm việc tại nhà
Leave Application,Đơn nghỉ phép
Attendance Date,Ngày chấm công
Attendance Request,Yêu cầu chấm công
Late Entry,Vào muộn
Early Exit,Về sớm
Half Day Date,Ngày nửa ngày
On Duty,Đi công tác
Explanation,Giải trình
Compensatory Leave Request,Yêu cầu nghỉ bù
Leave Allocation,Phân bổ nghỉ phép
Worked On Holiday,Làm việc ngày lễ
Work From Date,Ngày bắt đầu làm việc
Work End Date,Ngày kết thúc làm việc
Email Sent To,Email gửi tới
Select Users,Chọn người dùng
Send Emails At,Gửi email lúc
Reminder,Nhắc nhở
Daily Work Summary Group User,Người dùng Nhóm tổng hợp công việc hằng ngày
email,email
Department Approver,Người phê duyệt phòng ban
Approver,Người phê duyệt
Designation Skill,Kỹ năng theo chức danh
Skill,Kỹ năng
Leave Policy,Chính sách nghỉ phép
Salary Details,Chi tiết lương
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Claimed,Đã yêu cầu
Employee Attendance Tool,Công cụ Chấm công Nhân viên
Unmarked Attendance,Chấm công chưa ghi nhận
Employees HTML,Nhân viên HTML
Marked Attendance,Chấm công đã ghi nhận
Marked Attendance HTML,Chấm công đã ghi nhận HTML
Employee Benefit Application,Đơn đăng ký Phúc lợi Nhân viên
Max Benefits (Yearly),Phúc lợi tối đa (Hằng năm)
Remaining Benefits (Yearly),Phúc lợi còn lại (Hằng năm)
Payroll Period,Kỳ bảng lương
Dispensed Amount (Pro-rated),Số tiền đã chi (Theo tỷ lệ)
Employee Benefit Application Detail,Chi tiết Đơn đăng ký Phúc lợi Nhân viên
Earning Component,Thành phần thu nhập
Pay Against Benefit Claim,Thanh toán theo yêu cầu phúc lợi
Max Benefit Amount,Mức phúc lợi tối đa
Employee Benefit Claim,Yêu cầu phúc lợi nhân viên
Claim Date,Ngày yêu cầu
Claim Benefit For,Yêu cầu phúc lợi cho
Max Amount Eligible,Số tiền đủ điều kiện tối đa
Expense Proof,Chứng từ chi phí
Employee Boarding Activity,Hoạt động tiếp nhận nhân viên
Activity Name,Tên hoạt động
Required for Employee Creation,Bắt buộc để tạo Nhân viên
Applicable in the case of Employee Onboarding,Áp dụng trong trường hợp tiếp nhận nhân viên
Employee Checkin,Check-in nhân viên
Log Type,Loại nhật ký
OUT,RA
Location / Device ID,Vị trí / ID thiết bị
Skip Auto Attendance,Bỏ qua chấm công tự động
Shift Start,Bắt đầu ca
Shift End,Kết thúc ca
Shift Actual Start,Bắt đầu ca thực tế
Shift Actual End,Kết thúc ca thực tế
Default Salary Structure,Cấu trúc lương mặc định
Employee Health Insurance,Bảo hiểm sức khỏe nhân viên
Health Insurance Name,Tên bảo hiểm sức khỏe
Employee Incentive,Thưởng khuyến khích nhân viên
Incentive Amount,Số tiền thưởng
Employee Onboarding,Tiếp nhận nhân viên
Notify users by email,Thông báo người dùng qua email
Employee Onboarding Template,Mẫu tiếp nhận nhân viên
Employee Other Income,Thu nhập khác của nhân viên
Employee Promotion,Thăng chức nhân viên
Promotion Date,Ngày thăng chức
Employee Promotion Details,Chi tiết thăng chức nhân viên
Employee Property History,Lịch sử tài sản nhân viên
Employee Separation,Chấm dứt hợp đồng nhân viên
Employee Separation Template,Mẫu chấm dứt hợp đồng nhân viên
Exit Interview Summary,Tóm tắt phỏng vấn thôi việc
Employee Skill,Kỹ năng nhân viên
Proficiency,Mức độ thành thạo
Evaluation Date,Ngày đánh giá
Employee Skill Map,Bản đồ kỹ năng nhân viên
Employee Skills,Các kỹ năng của nhân viên
Trainings,Đào tạo
Employee Tax Exemption Category,Danh mục miễn giảm thuế của nhân viên
Max Exemption Amount,Mức miễn giảm tối đa
Employee Tax Exemption Declaration,Khai báo miễn giảm thuế của nhân viên
Declarations,Các khai báo
Total Declared Amount,Tổng số tiền đã khai báo
Total Exemption Amount,Tổng số tiền được miễn giảm
Employee Tax Exemption Declaration Category,Danh mục khai báo miễn giảm thuế của nhân viên
Exemption Sub Category,Danh mục miễn giảm phụ
Exemption Category,Danh mục miễn giảm
Maximum Exempted Amount,Số tiền được miễn giảm tối đa
Declared Amount,Số tiền đã khai báo
Employee Tax Exemption Proof Submission,Nộp minh chứng miễn giảm thuế của nhân viên
Submission Date,Ngày nộp
Tax Exemption Proofs,Chứng từ miễn giảm thuế
Tax ID,Mã số thuế
Total Actual Amount,Tổng số tiền thực tế
Employee Tax Exemption Proof Submission Detail,Chi tiết nộp minh chứng miễn giảm thuế của nhân viên
Maximum Exemption Amount,Mức miễn giảm tối đa
Type of Proof,Loại chứng từ
Actual Amount,Số tiền thực tế
Employee Tax Exemption Sub Category,Danh mục miễn giảm thuế phụ của nhân viên
Tax Exemption Category,Danh mục miễn giảm thuế
Employee Training,Đào tạo nhân viên
Training Date,Ngày đào tạo
Employee Transfer,Điều chuyển nhân viên
Transfer Date,Ngày điều chuyển
Employee Transfer Details,Chi tiết điều chuyển nhân viên
Employee Transfer Detail,Chi tiết điều chuyển nhân viên
Re-allocate Leaves,Phân bổ lại ngày nghỉ
Create New Employee Id,Tạo mã nhân viên mới
New Employee ID,Mã nhân viên mới
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
Expense Taxes and Charges,Thuế và phí chi phí
Total Sanctioned Amount,Tổng số tiền được phê duyệt
Total Advance Amount,Tổng số tiền tạm ứng
Total Claimed Amount,Tổng số tiền đã yêu cầu
Total Amount Reimbursed,Tổng số tiền đã hoàn trả
Vehicle Log,Nhật ký xe
Employees Email Id,Email nhân viên
More Details,Thêm chi tiết
Expense Claim Account,Tài khoản yêu cầu chi phí
Expense Claim Advance,Tạm ứng chi phí
Expense Claim Detail,Chi tiết yêu cầu chi phí
Expense Date,Ngày chi phí
Expense Claim Type,Loại yêu cầu chi phí
HR Settings,Cài đặt HR
Employee Settings,Cài đặt nhân viên
Expense Approver Mandatory In Expense Claim,Bắt buộc người phê duyệt trong yêu cầu chi phí
Payroll Settings,Cài đặt bảng lương
Leave,Nghỉ phép
Max working hours against Timesheet,Số giờ làm việc tối đa theo bảng chấm công
Include holidays in Total no. of Working Days,Bao gồm ngày lễ trong tổng số ngày làm việc
